,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,-19223.014737999998,2023-08-16 19:50:18.659888,2023-08-16 19:50:19.615524,0 days 00:00:00.955636,32,10000,0.98,0.0004243888410928904,1000,0.738407280817766,big,0.02,16,COMPLETE
1,1,-17948.9351398,2023-08-16 19:50:18.661339,2023-08-16 19:50:19.366619,0 days 00:00:00.705280,256,10000,0.999,0.003923619723153073,20000,-3.58300625970953,big,0.001,32,COMPLETE
2,2,-17726.230196800003,2023-08-16 19:50:19.367744,2023-08-16 19:50:19.927282,0 days 00:00:00.559538,128,1000000,0.995,0.00012173158751274607,1000,0.8750749493213226,small,0.001,32,COMPLETE
3,3,-17809.3149846,2023-08-16 19:50:19.616542,2023-08-16 19:50:20.252957,0 days 00:00:00.636415,16,1000000,0.98,3.445000987329914e-05,10000,-3.7683167961536075,medium,0.05,4,COMPLETE
4,4,-17621.5290532,2023-08-16 19:50:19.928212,2023-08-16 19:50:20.376509,0 days 00:00:00.448297,1024,100000,0.98,0.002705240529667403,20000,-3.8348750989328906,medium,0.005,8,COMPLETE
5,5,-18710.751760799998,2023-08-16 19:50:20.254639,2023-08-16 19:50:20.968669,0 days 00:00:00.714030,1024,10000,0.9999,0.04692283364496049,20000,0.9178712092676475,small,0.001,32,COMPLETE
6,6,-16118.511044999997,2023-08-16 19:50:20.377559,2023-08-16 19:50:21.432108,0 days 00:00:01.054549,16,10000,0.999,0.0006967787023669795,1000,-2.992270931011259,small,0.02,16,COMPLETE
7,7,-21608.850838399998,2023-08-16 19:50:20.970174,2023-08-16 19:50:21.702188,0 days 00:00:00.732014,128,100000,0.95,0.0005266780170010865,10000,-1.7596123970297137,small,0.08,1,COMPLETE
8,8,-17924.8110052,2023-08-16 19:50:21.433898,2023-08-16 19:50:22.001274,0 days 00:00:00.567376,256,100000,0.999,0.0010502542621007712,1000,-3.250414059128475,small,0.02,32,COMPLETE
9,9,-17506.718364,2023-08-16 19:50:21.703315,2023-08-16 19:50:22.239089,0 days 00:00:00.535774,512,10000,0.95,0.000758956392075274,20000,-3.1439717816864095,big,0.02,128,COMPLETE
10,10,-18583.328352999997,2023-08-16 19:50:22.002527,2023-08-16 19:50:22.635843,0 days 00:00:00.633316,128,1000000,0.9,0.20492099555185564,10000,0.5047299201978239,big,0.001,16,PRUNED
11,11,-18126.288359600003,2023-08-16 19:50:22.240996,2023-08-16 19:50:22.597673,0 days 00:00:00.356677,2048,10000,0.999,1.722785501760449e-05,1000,-1.8727975979877887,small,0.001,256,PRUNED
